State,StateID,Mux1,Mux2,,Mux3,,,Mux4,,Mux5,,Mux6,,Mux7,,Mux8,Mux9,Mux10,Mux11,Mux12,wrf,wpc,wir,,lccr,aluop,,alushop,,rm/wmb,lalu,ltempdr,,,
fetch1,0,x,x,x,x,x,x,0,1,0,1,1,0,1,0,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],x,x,1,0,1,0,1,0,0,x,x,1,1,1,1,1,1
fetch2,1,x,x,x,x,x,x,0,1,0,1,1,0,1,0,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],x,x,1,0,0,1,1,0,0,x,x,1,1,1,1,1,1
op1,2,1,x,x,0,0,0,x,x,x,x,x,x,x,x,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],x,x,1,1,1,1,1,x,x,x,x,1,1,1,1,1,1
op2,3,x,x,x,x,x,x,0,0,0,0,x,x,x,x,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],x,x,1,1,1,1,0,IR[15],IR[14],IR[5],IR[4],1,0,1,1,1,1
op3,4,x,1,1,x,x,x,x,x,x,x,x,x,x,x,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],0,x,0,1,1,1,1,x,x,x,x,1,1,1,1,1,1
br1,5,x,x,x,0,1,1,0,1,0,0,1,0,x,x,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],x,x,1,0,1,1,1,0,0,x,x,1,1,1,1,1,1
jmp1,6,x,x,x,x,x,x,x,x,x,x,0,1,x,x,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],x,x,1,0,1,1,1,x,x,x,x,1,1,1,1,1,1
jsr1,7,x,1,0,x,x,x,x,x,x,x,x,x,x,x,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],1,x,0,1,1,1,1,x,x,x,x,1,1,1,1,1,1
jsr2,8,x,x,x,0,0,1,0,1,0,0,0,1,x,x,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],x,x,1,0,1,1,1,0,0,x,x,1,1,1,1,1,1
ldb1,9,x,x,x,0,0,0,0,0,0,0,x,x,x,x,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],x,x,1,1,1,1,1,0,0,x,x,1,0,1,1,1,1
ldb2,10,x,x,x,x,x,x,x,x,x,x,x,x,0,1,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],x,x,1,1,1,1,1,x,x,x,x,1,1,1,1,1,1
ldb3,11,x,0,0,x,x,x,1,0,1,0,x,x,x,x,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],0,x,0,1,1,1,0,0,0,x,x,1,1,1,1,1,1
ldw1,12,x,x,x,0,1,0,0,0,0,0,x,x,x,x,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],x,x,1,1,1,1,1,0,0,x,x,1,0,1,1,1,1
ldw2,13,x,x,x,x,x,x,x,x,x,x,x,x,0,1,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],x,x,1,1,1,1,1,x,x,x,x,1,1,1,1,1,1
ldw3,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],x,x,1,1,1,1,1,x,x,x,x,1,1,1,1,1,0
ldw4,15,x,x,x,x,x,x,1,1,0,1,x,x,x,x,IR[5],(IR[11] && N) || (IR[10] && Z) || (IR[9] && P),IR[11],x,x,1,1,1,1,1,0,0,x,x,1,0,1,1,1,1
